siren,etablissements,effectifmin,categorieentreprise,denominationunitelegale,denominationusuelle1unitelegale
067800425,6,18790,NA,NA,NA
130005481,11,36997,GE,POLE EMPLOI,NA
130015332,9,5458,GE,UNIVERSITE D'AIX MARSEILLE,NA
130015506,10,5177,GE,UNIVERSITE DE LORRAINE,NA
177501517,10,16893,GE,PREFECTURE DE POLICE DE PARIS,NA
180020026,9,5151,GE,CAISSE DES DEPOTS ET CONSIGNATIONS,NA
180035024,9,6918,GE,CAISSE NATIONALE DE L'ASSURANCE MALADIE,NA
180036048,10,6006,GE,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,NA
180070039,10,7262,GE,INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE,NA
180089013,12,24303,GE,CTRE NAT DE LA RECHERCHE SCIENTIFIQUE,NA
200023059,7,5516,GE,CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE BREST,NA
200042166,7,8240,GE,CENTRE HOSPITALIER REGIONAL DE NANCY,NA
200046977,2,5250,GE,METROPOLE DE LYON,NA
200053742,1,5000,NA,REGION HAUTS-DE-FRANCE,NA
200053759,5,5029,NA,REGION NOUVELLE-AQUITAINE,NA
200053767,1,5000,NA,REGION AUVERGNE-RHONE-ALPES,NA
200055358,1,5000,NA,CENTRE HOSPITALIER UNIVERSITAIRE DE POITIERS,NA
210600888,7,7349,GE,COMMUNE DE NICE,NA
211300553,10,11437,GE,COMMUNE DE MARSEILLE,NA
213105554,7,8303,GE,COMMUNE DE TOULOUSE,NA
216901231,10,8377,GE,COMMUNE DE LYON,NA
217500016,12,47649,GE,COMMUNE DE PARIS,NA
221300015,10,6603,GE,DEPARTEMENT DES BOUCHES DU RHONE,NA
223300013,5,5773,GE,DEPARTEMENT DE LA GIRONDE,NA
225900018,11,9191,GE,DEPARTEMENT DU NORD,NA
228300018,4,5271,GE,DEPARTEMENT DU VAR,NA
229200506,4,5027,GE,DEPARTEMENT DES HAUTS-DE-SEINE,NA
229300082,3,5270,GE,DEPARTEMENT DE LA SEINE SAINT DENIS,NA
